DATE,Value
01-01-2013,5
01-02-2013,20
01-03-2013,50
01-04-2013,35
01-05-2013,25
01-06-2013,25
01-07-2013,70
01-08-2013,60
01-09-2013,80
01-10-2013,80
01-11-2013,90
01-12-2013,55
01-01-2014,10
01-02-2014,40
01-03-2014,100
01-04-2014,70
01-05-2014,50
01-06-2014,50
01-07-2014,140
01-08-2014,120
01-09-2014,160
01-10-2014,160
01-11-2014,180
01-12-2014,110
01-01-2015,20
01-02-2015,80
01-03-2015,200
01-04-2015,140
01-05-2015,100
01-06-2015,100
01-07-2015,280
01-08-2015,240
01-09-2015,320
01-10-2015,320
01-11-2015,360
01-12-2015,220
01-01-2016,40
01-02-2016,160
01-03-2016,400
01-04-2016,280
01-05-2016,200
01-06-2016,200
01-07-2016,560
01-08-2016,480
01-09-2016,640
01-10-2016,640
01-11-2016,720
01-12-2016,440
01-01-2017,80
01-02-2017,320
01-03-2017,800
01-04-2017,560
01-05-2017,400
01-06-2017,400
01-07-2017,1120
01-08-2017,960
01-09-2017,1280
01-10-2017,1280
01-11-2017,1440
01-12-2017,880
01-01-2018,160
