DATE,Value
01-01-2013,4000
01-02-2013,2000
01-03-2013,1000
01-04-2013,500
01-05-2013,1000
01-06-2013,3000
01-07-2013,4000
01-08-2013,4000
01-09-2013,2000
01-10-2013,1000
01-11-2013,500
01-12-2013,1000
01-01-2014,8000
01-02-2014,4000
01-03-2014,2000
01-04-2014,1000
01-05-2014,2000
01-06-2014,6000
01-07-2014,8000
01-08-2014,8000
01-09-2014,4000
01-10-2014,2000
01-11-2014,1000
01-12-2014,2000
01-01-2015,16000
01-02-2015,8000
01-03-2015,4000
01-04-2015,2000
01-05-2015,4000
01-06-2015,12000
01-07-2015,16000
01-08-2015,16000
01-09-2015,8000
01-10-2015,4000
01-11-2015,2000
01-12-2015,4000
01-01-2016,32000
01-02-2016,16000
01-03-2016,8000
01-04-2016,4000
01-05-2016,8000
01-06-2016,24000
01-07-2016,32000
01-08-2016,32000
01-09-2016,16000
01-10-2016,8000
01-11-2016,4000
01-12-2016,8000
01-01-2017,64000
01-02-2017,32000
01-03-2017,16000
01-04-2017,8000
01-05-2017,16000
01-06-2017,48000
01-07-2017,64000
01-08-2017,64000
01-09-2017,32000
01-10-2017,16000
01-11-2017,8000
01-12-2017,16000
01-01-2018,128000
