DATE,Value
01-01-2013,563154
01-02-2013,580005
01-03-2013,687145
01-04-2013,733057
01-05-2013,679869
01-06-2013,622221
01-07-2013,570329
01-08-2013,558137
01-09-2013,599005
01-10-2013,657655
01-11-2013,644816
01-12-2013,610005
01-01-2014,575322
01-02-2014,593417
01-03-2014,681354
01-04-2014,588734
01-05-2014,638918
01-06-2014,688694
01-07-2014,700669
01-08-2014,641151
01-09-2014,603789
01-10-2014,624643
01-11-2014,705777
01-12-2014,798703
01-01-2015,761622
01-02-2015,702928
01-03-2015,632384
01-04-2015,614065
01-05-2015,671097
01-06-2015,729816
01-07-2015,757655
01-08-2015,675152
01-09-2015,632832
01-10-2015,651078
01-11-2015,738631
01-12-2015,779188
01-01-2016,766822
01-02-2016,733523
01-03-2016,651081
01-04-2016,636892
01-05-2016,684722
01-06-2016,740301
01-07-2016,750448
01-08-2016,693053
01-09-2016,658735
01-10-2016,690706
01-11-2016,841949
01-12-2016,843598
01-01-2017,771726
01-02-2017,731964
01-03-2017,672781
01-04-2017,658218
01-05-2017,714654
01-06-2017,76614
01-07-2017,771052
01-08-2017,73061
01-09-2017,674365
01-10-2017,685665
01-11-2017,776839
01-12-2017,860214
01-01-2018,775573
